Date,v_20230912,v_20231114,v_20231212,v_20240116,v_20240213,v_20240312,v_20240416,v_20240514,v_20240611,v_20240718,v_20240813,v_20240910,v_20241015,v_20241112,v_20241217,v_20250121,v_20250218,v_20250320,v_20250415,v_20250513,v_20250610,v_20250717,v_20250812,v_20250916
2022-11,1151,1151,1151,1160,1160,1160,1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,1138,1138,1138,1138,1138,1138
2022-12,1138,1138,1138,1138,1140,1140,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1114,1114,1114,1114,1114,1114
2023-01,1130,1130,1130,1130,1130,1132,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1112,1112,1112,1112,1112,1112
2023-02,1119,1119,1119,1119,1119,1119,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1104,1104,1104,1104,1104,1104
2023-03,1085,1085,1085,1085,1085,1085,1088,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,1075,1075,1075,1075,1075,1075
2023-04,1052,1052,1052,1052,1052,1052,1058,1058,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1043,1043,1043,1043,1043,1043
2023-05,1031,1032,1032,1032,1032,1032,1037,1037,1037,1039,1039,1039,1039,1039,1039,1039,1039,1039,1025,1025,1025,1025,1025,1025
2023-06,1017,1015,1015,1015,1015,1015,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1010,1010,1010,1010,1010,1010
2023-07,989,993,994,994,994,994,997,997,997,997,997,1000,1000,1000,1000,1000,1000,1000,988,988,988,988,988,988
2023-08,,981,984,983,983,983,982,982,982,982,982,982,983,983,983,983,983,983,973,973,973,973,973,973
2023-09,,957,959,960,958,958,959,959,959,959,959,959,959,961,961,961,961,961,952,952,952,952,952,952
2023-10,,,949,951,949,951,951,951,951,951,951,951,951,951,955,955,955,955,948,948,948,948,948,948
2023-11,,,,934,934,933,929,929,929,929,929,929,929,929,929,930,930,930,924,924,924,924,924,924
2023-12,,,,,932,928,923,924,924,924,924,924,924,924,924,924,929,929,916,916,916,916,916,916
2024-01,,,,,,908,910,911,916,916,916,916,916,916,916,916,916,914,904,904,904,904,904,904
2024-02,,,,,,,916,913,919,919,919,919,919,919,919,919,919,919,905,905,905,905,905,905
2024-03,,,,,,,,898,908,908,909,909,909,909,909,909,909,909,893,892,892,892,892,892
2024-04,,,,,,,,,904,905,906,899,899,899,899,899,899,899,886,886,886,886,886,886
2024-05,,,,,,,,,,889,888,880,875,875,875,875,875,875,868,868,868,870,870,870
2024-06,,,,,,,,,,,884,872,869,866,866,866,866,866,859,859,859,859,863,863
2024-07,,,,,,,,,,,,857,856,853,850,850,850,850,845,845,845,845,845,847
2024-08,,,,,,,,,,,,,841,840,837,836,836,836,832,832,832,832,832,832
2024-09,,,,,,,,,,,,,,831,828,827,828,828,823,823,823,823,823,823
2024-10,,,,,,,,,,,,,,,818,813,814,815,807,807,807,807,807,807
2024-11,,,,,,,,,,,,,,,,812,818,820,806,806,806,806,806,806
2024-12,,,,,,,,,,,,,,,,,819,821,803,804,804,804,804,804
2025-01,,,,,,,,,,,,,,,,,,816,799,801,799,799,799,799
2025-02,,,,,,,,,,,,,,,,,,,781,783,782,783,783,783
2025-03,,,,,,,,,,,,,,,,,,,,761,760,763,762,762
2025-04,,,,,,,,,,,,,,,,,,,,,736,738,738,739
2025-05,,,,,,,,,,,,,,,,,,,,,,727,725,726
2025-06,,,,,,,,,,,,,,,,,,,,,,,718,720
2025-07,,,,,,,,,,,,,,,,,,,,,,,,728
